name,url,rate,rank,food_type,place,price_type,comment_num,comment_5star,comment_4star,comment_3star,comment_2star,comment_1star,food_score,service_score,affordable_score,atmosphere_score
MO BAR,https://cn.tripadvisor.com/Restaurant_Review-g294265-d15242390-Reviews-MO_BAR-Singapore.html,4.5,1,酒吧餐,滨海广场,¥¥¥¥,398,330,45,11,8,4,4.5,4.5,4.3,4.3
ShuKuu Izakaya & Sake Bar,https://cn.tripadvisor.com/Restaurant_Review-g294265-d8393150-Reviews-ShuKuu_Izakaya_Sake_Bar-Singapore.html,4.5,2,"日式料理, 酒吧餐, 亚洲料理",中区/城区,¥¥ - ¥¥¥,713,478,211,14,7,3,4.6,4.6,4.1,4.2
Bar Square,https://cn.tripadvisor.com/Restaurant_Review-g294265-d23071815-Reviews-Bar_Square-Singapore.html,5,3,"酒吧餐, 红酒吧",中区/城区,¥¥¥¥,120,109,7,1,0,3,4.9,5,4.9,4.9
Jekyll & Hyde,https://cn.tripadvisor.com/Restaurant_Review-g294265-d6659473-Reviews-Jekyll_Hyde-Singapore.html,4.5,4,"酒吧餐, 多国料理",中区/城区,¥¥ - ¥¥¥,110,87,14,7,1,1,4.4,4.7,4.2,4.2
PLUME,https://cn.tripadvisor.com/Restaurant_Review-g294265-d25465484-Reviews-PLUME-Singapore.html,5,5,"酒吧餐, 亚洲料理, 红酒吧",None,¥¥ - ¥¥¥,27,27,0,0,0,0,4.8,5,4.7,5
Lofty Peaks,https://cn.tripadvisor.com/Restaurant_Review-g294265-d25383790-Reviews-Lofty_Peaks-Singapore.html,5,6,"印度菜, 酒吧餐, 烧烤",None,¥¥ - ¥¥¥,23,22,1,0,0,0,4.9,5,4.6,5
Charlie's Restaurant & Bar,https://cn.tripadvisor.com/Restaurant_Review-g294265-d3589104-Reviews-Charlie_s_Restaurant_Bar-Singapore.html,4,7,"酒吧餐, 欧洲",新加坡河,¥¥ - ¥¥¥,138,61,45,15,8,9,3.9,4.2,3.8,4.2
Bar Stories,https://cn.tripadvisor.com/Restaurant_Review-g294265-d2538708-Reviews-Bar_Stories-Singapore.html,4,8,酒吧餐,阿拉伯街,¥¥ - ¥¥¥,179,92,53,15,6,13,4.1,3.9,3.4,4.1
Fu Lin Clarke Quay,https://cn.tripadvisor.com/Restaurant_Review-g294265-d25217622-Reviews-Fu_Lin_Clarke_Quay-Singapore.html,4.5,9,"中餐, 欧洲, 亚洲料理",None,¥¥ - ¥¥¥,26,18,7,1,0,0,None,None,None,None
The Guild,https://cn.tripadvisor.com/Restaurant_Review-g294265-d14088331-Reviews-The_Guild-Singapore.html,4.5,10,"酒吧餐, 酒馆",中区/城区,¥¥ - ¥¥¥,63,35,19,4,5,0,4.3,4.4,3.9,4
