name,url,rate,rank,food_type,place,price_type,comment_num,comment_5star,comment_4star,comment_3star,comment_2star,comment_1star,food_score,service_score,affordable_score,atmosphere_score
Origin + Bloom,https://cn.tripadvisor.com/Restaurant_Review-g294265-d23267273-Reviews-Origin_Bloom-Singapore.html,5,1,"咖啡馆, 健康餐饮",中区/城区,¥¥ - ¥¥¥,145,140,4,0,0,1,4.9,5,4.6,4.8
Chocoelf,https://cn.tripadvisor.com/Restaurant_Review-g294265-d23968070-Reviews-Chocoelf-Singapore.html,5,2,"咖啡馆, 新加坡菜",None,¥¥ - ¥¥¥,143,126,16,1,0,0,4.8,4.7,4.5,4.7
Bar Square,https://cn.tripadvisor.com/Restaurant_Review-g294265-d23071815-Reviews-Bar_Square-Singapore.html,5,3,"酒吧餐, 红酒吧",中区/城区,¥¥¥¥,120,109,7,1,0,3,4.9,5,4.9,4.9
Tolido's Espresso Nook,https://cn.tripadvisor.com/Restaurant_Review-g294265-d5860878-Reviews-Tolido_s_Espresso_Nook-Singapore.html,4.5,4,"意餐, 美式烹饪",Crawford,¥¥ - ¥¥¥,397,263,96,24,10,4,4.5,4.5,4.4,4.6
Takagi Ramen - 51@AMK (OPP AMK HUB)-,https://cn.tripadvisor.com/Restaurant_Review-g294265-d12605183-Reviews-Takagi_Ramen_51_AMK_OPP_AMK_HUB-Singapore.html,4.5,5,"日式料理, 亚洲料理",宏茂桥镇中心,¥,126,85,28,9,1,3,None,None,None,None
Tiong Bahru Food Centre,https://cn.tripadvisor.com/Restaurant_Review-g294265-d3470146-Reviews-Tiong_Bahru_Food_Centre-Singapore.html,4.5,6,"中餐, 亚洲料理",红山 (Bukit Merah),¥,459,218,191,43,3,4,4.5,3.7,4.7,4
Tiong Bahru Bakery,https://cn.tripadvisor.com/Restaurant_Review-g294265-d3543833-Reviews-Tiong_Bahru_Bakery-Singapore.html,4,6,"法餐, 咖啡馆",红山 (Bukit Merah),¥¥ - ¥¥¥,721,341,259,79,10,32,4.4,4,3.8,3.8
Old Airport Rd Food Centre,https://cn.tripadvisor.com/Restaurant_Review-g294265-d1146830-Reviews-Old_Airport_Rd_Food_Centre-Singapore.html,4.5,7,"亚洲料理, 粤菜",芽笼,¥,657,314,262,66,9,6,4.5,3.5,4.5,3.4
Sunday Folks,https://cn.tripadvisor.com/Restaurant_Review-g294265-d7348336-Reviews-Sunday_Folks-Singapore.html,4,7,咖啡馆,武吉知马,¥¥ - ¥¥¥,294,130,125,26,7,6,4.4,4,3.7,3.9
Atlas Coffeehouse,https://cn.tripadvisor.com/Restaurant_Review-g294265-d10375592-Reviews-Atlas_Coffeehouse-Singapore.html,4,8,咖啡馆,武吉知马,¥¥ - ¥¥¥,370,154,163,40,9,4,4.3,4.2,3.8,4.1
