name,url,rate,rank,food_type,place,price_type,comment_num,comment_5star,comment_4star,comment_3star,comment_2star,comment_1star,food_score,service_score,affordable_score,atmosphere_score
Blu Kouzina Siglap,https://cn.tripadvisor.com/Restaurant_Review-g294265-d23476859-Reviews-Blu_Kouzina_Siglap-Singapore.html,5.0,1,"地中海, 希腊菜",Frankel,¥¥ - ¥¥¥,548.0,519.0,17.0,5.0,3.0,4.0,4.9,4.9,4.5,4.9
Entre-Nous creperie,https://cn.tripadvisor.com/Restaurant_Review-g294265-d1193730-Reviews-Entre_Nous_creperie-Singapore.html,5.0,2,"法餐, 欧洲, 健康餐饮",中区/城区,¥¥ - ¥¥¥,1839.0,1577.0,205.0,40.0,14.0,3.0,4.8,4.8,4.4,4.3
ShuKuu Izakaya & Sake Bar,https://cn.tripadvisor.com/Restaurant_Review-g294265-d8393150-Reviews-ShuKuu_Izakaya_Sake_Bar-Singapore.html,4.5,2,"日式料理, 酒吧餐, 亚洲料理",中区/城区,¥¥ - ¥¥¥,712.0,477.0,211.0,14.0,7.0,3.0,4.6,4.6,4.1,4.2
Loulou - French Cuisine & Wine Bar,https://cn.tripadvisor.com/Restaurant_Review-g294265-d24167082-Reviews-Loulou_French_Cuisine_Wine_Bar-Singapore.html,5.0,3,"法餐, 地中海, 红酒吧",,¥¥ - ¥¥¥,421.0,387.0,31.0,2.0,1.0,0.0,4.9,4.9,4.7,4.8
Bar Square,https://cn.tripadvisor.com/Restaurant_Review-g294265-d23071815-Reviews-Bar_Square-Singapore.html,5.0,3,"酒吧餐, 红酒吧",中区/城区,¥¥¥¥,120.0,109.0,7.0,1.0,0.0,3.0,4.9,5.0,4.9,4.9
The Mind Cafe - Mega Outlet,https://cn.tripadvisor.com/Restaurant_Review-g294265-d2089644-Reviews-The_Mind_Cafe_Mega_Outlet-Singapore.html,5.0,4,"酒吧餐, 咖啡馆",中区/城区,¥¥ - ¥¥¥,804.0,716.0,79.0,4.0,2.0,3.0,4.4,4.7,4.5,4.7
Man Fu Yuan,https://cn.tripadvisor.com/Restaurant_Review-g294265-d877622-Reviews-Man_Fu_Yuan-Singapore.html,4.5,5,"中餐, 亚洲料理, 粤菜",中区/城区,¥¥¥¥,1517.0,1249.0,184.0,56.0,18.0,10.0,4.5,4.7,4.2,4.5
Bar-Roque Grill,https://cn.tripadvisor.com/Restaurant_Review-g294265-d4504877-Reviews-Bar_Roque_Grill-Singapore.html,5.0,6,"法餐, 牛排馆, 酒吧餐",中区/城区,¥¥ - ¥¥¥,1026.0,857.0,115.0,31.0,15.0,8.0,,,,
Maison Boulud Singapore,https://cn.tripadvisor.com/Restaurant_Review-g294265-d27413001-Reviews-Maison_Boulud_Singapore-Singapore.html,5.0,7,法餐,,¥¥ - ¥¥¥,376.0,338.0,36.0,1.0,1.0,0.0,4.8,5.0,4.6,4.9
RISE Restaurant,https://cn.tripadvisor.com/Restaurant_Review-g294265-d3471372-Reviews-RISE_Restaurant-Singapore.html,5.0,8,,中区/城区,¥¥ - ¥¥¥,2014.0,1681.0,243.0,57.0,21.0,12.0,4.7,4.8,4.5,4.9
Colony,https://cn.tripadvisor.com/Restaurant_Review-g294265-d8571637-Reviews-Colony-Singapore.html,5.0,9,"中餐, 日式料理, 海鲜",滨海广场,¥¥¥¥,3669.0,3062.0,444.0,99.0,38.0,26.0,4.7,4.8,4.4,4.8
Origin Grill,https://cn.tripadvisor.com/Restaurant_Review-g294265-d13355758-Reviews-Origin_Grill-Singapore.html,5.0,10,"欧洲, 现代创意料理, 多国料理",东陵,¥¥¥¥,1341.0,1165.0,130.0,30.0,13.0,3.0,4.7,4.8,4.5,4.7
