Review ID,Positive Restaurant Keywords,Negative Restaurant Keywords,Dish 1 Name,Dish 1 Keywords,Dish 2 Name,Dish 2 Keywords,Dish 3 Name,Dish 3 Keywords,Dish 4 Name,Dish 4 Keywords,Dish 5 Name,Dish 5 Keywords
2,"smoky flavour, nice & moist, thick concentrated","no prawns, looked off",Daal Keema fry,good,Pala Paneer,good,Mix tandoor sizzler,great smoky flavour,Briyani rice,tasted about right,Kashmiri naan,nice & moist
3,"very good Pakistani restaurant, delicious",don't even know listed on yelp,chicken tandoori,"very good, delicious",Price,average,,,,,,
4,"great service, super fast, tender flavorful and juicy, good turmeric and cumin taste","cash only, questionable cleanliness",butter chicken,,garlic naan,,tandoori chicken,"tender, flavorful, juicy",biryani rice,good turmeric and cumin taste,,
5,"honest good Indian food, quick cheap eat, no nonsense staff",,garlic naan,"fluffy, hot, full of flavor",chicken tandoori,"packing heat, addicting",pulled tea,"aerated, light, deliciously sweet",,,,
6,,,tandoori chicken,SOOOOOO goood,naan,good,tikka chicken,tasty,cheese naan,YUMMY,,
7,,disappointed,chili chicken,"lacked flavor, no spice, very mild, tasteless",bryani,hate cilantro,tandoori chicken,"dry, hard to finish",naan,GREAT,,
8,"delicious Indian, quick cheap eat, fluffy hot naan",,garlic naan,"fluffy, hot, full of flavor",chicken tandoori,"packing heat, addicting",pulled tea,"aerated, light, deliciously sweet",,,,
9,,"alarmingly slow pace, no AC, sweating like a farm animal",,,,,,,,,,
10,"delicious naan, excellent mango lassi","cash only, prices high",garlic cheese naan,excellent,mango lassi,exceptional,,,,,,
11,"great food, immediate service",,garlic cheese naan,phenomenal,butter chicken,,mango lassie,,,,,
12,"fluffy naans, satisfying dinner/supper","grotty, stench from drain, not clean or cute",butter garlic naan,fluffy,garlic and cheese naan,fluffy,sesame naan,fluffy,palak paneer,"satisfying, dark green, almost black",masala chai,satisfying
13,"excellent food, hot served, courteous server",ambience,Dhall fry,delicious,,,,,,,,
14,"authentic Indian food, blissful Indian food",cleanliness,Dal tadka,,Butter Chicken,,Palak Paneer,,Garlic Naan,,,
15,"quick and attentive service, highlights were...",,daal,,aloo gobi,,chicken karahi,,samosas,,garlic and cheese naan,alright
16,"fabulous rustic Indian food, recommend",,,,,,,,,,,
17,"excellent Indian food, delicious garlic naan, enjoyed mango lassi",cash only,garlic naan,delicious,chicken masala,tasty,tandoori chicken,tasty,mango lassi,enjoyed,,
18,"great desi food, hot and fresh garlic naan","no AC, no credit card machine, no dressed-up staff",lahori tandoor,mildly spiced,garlic naan,"hot, fresh",,,,,,
19,"great naans, much better than it looked",,butter naan,"soft inside, mildly crispy outside",chicken masala,"sweet, not spicy, fell off the bone",teh tarik,average,,,,
20,great desi food,"no AC, no credit card machine, no dressed-up staff",lahori tandoor,mildly spiced,garlic naan,"hot, fresh",,,,,,
21,"truly excellent food, best Naan","open air, thick haze",tandoori chicken,tasty,biryani,,chicken curry,,mutter paneer,,mango lassis,
