place,price_type
Bishan,1.75
Crawford,1.7692307692307692
Frankel,2.0
Hougang,2.0
Maritime Square,2.09375
Maxwell,1.6666666666666667
Novena,1.8076923076923077
Serangoon,1.9166666666666667
三巴旺,2.0
东陵,2.142857142857143
中区/城区,2.144262295081967
丹戎巴葛,2.2
亚历山德拉山,1.8
加冷,2.0
劳明达,2.0
勿洛,2.0
勿洛北,2.0
圣淘沙,2.2857142857142856
大巴窑,2.0
宏茂桥,2.0
宏茂桥镇中心,2.0
政府大厦,2.1666666666666665
新加坡河,2.1176470588235294
榜鹅,2.0
樟宜,1.9333333333333333
欧南,1.0
武吉巴督,2.0
武吉班让,2.0
武吉知马,1.930232558139535
淡滨尼东,1.8
淡滨尼西,2.0
滨海广场,2.2903225806451615
盛港,2.0
红山 (Bukit Merah),2.0357142857142856
芽笼,1.9
裕廊区域中心,2.1
裕廊西,1.0
裕廊西中央,1.8
金文泰中央,2.0
阿拉伯街,1.9487179487179487
马林百列,1.9393939393939394
