place,price_type
Bishan,1.75
Crawford,1.769230769
Frankel,2
Hougang,2
Maritime Square,2.09375
Maxwell,1.666666667
Novena,1.807692308
Serangoon,1.916666667
Sembawang,2
Tanglin,2.142857143
Central Area/City Area,2.144262295
Tanjong Pagar,2.2
Alexandra Hill,1.8
Kallang,2
Lavender,2
Bedok,2
Bedok North,2
Sentosa Island,2.285714286
Toa Payoh,2
Ang Mo Kio,2
Ang Mo Kio Town Centre,2
City Hall,2.166666667
Singapore river/Riverside,2.117647059
Punggol,2
Changi,1.933333333
Outram,1
Bukit Batok,2
Bbukit Pajang,2
Bukit Timah,1.930232558
Tampines East,1.8
Tampines West,2
Marina Centre,2.290322581
Sengkang,2
Bukit Merah,2.035714286
Geylang,1.9
Jurong Regional Central,2.1
Jurong West,1
Jurong West Central,1.8
Clementi Central,2
Arab Street,1.948717949
Marine Parade,1.939393939
