place,rate
Bishan,3.75
Crawford,3.9615384615384617
Frankel,4.0
Hougang,3.1666666666666665
Maritime Square,3.859375
Maxwell,4.0
Novena,3.75
Serangoon,4.041666666666667
三巴旺,3.75
东陵,4.428571428571429
中区/城区,4.050819672131148
丹戎巴葛,4.1
亚历山德拉山,3.9
加冷,3.9285714285714284
劳明达,4.0625
勿洛,4.5
勿洛北,4.125
圣淘沙,3.9285714285714284
大巴窑,3.75
宏茂桥,4.0
宏茂桥镇中心,3.5
政府大厦,4.416666666666667
新加坡河,3.8781512605042017
榜鹅,3.6666666666666665
樟宜,3.783333333333333
欧南,4.0
武吉巴督,4.5
武吉班让,3.75
武吉知马,3.895348837209302
淡滨尼东,3.7
淡滨尼西,3.5
滨海广场,3.9838709677419355
盛港,4.0
红山 (Bukit Merah),4.0
芽笼,3.8
裕廊区域中心,3.85
裕廊西,5.0
裕廊西中央,4.1
金文泰中央,3.75
阿拉伯街,3.9615384615384617
马林百列,3.8636363636363638
