place,rate
Bishan,3.75
Crawford,3.961538462
Frankel,4
Hougang,3.166666667
Maritime Square,3.859375
Maxwell,4
Novena,3.75
Serangoon,4.041666667
Sembawang,3.75
Tanglin,4.428571429
Central Area/City Area,4.050819672
Tanjong Pagar,4.1
Alexandra Hill,3.9
Kallang,3.928571429
Lavender,4.0625
Bedok,4.5
Bedok North,4.125
Sentosa Island,3.928571429
Toa Payoh,3.75
Ang Mo Kio,4
Ang Mo Kio Town Centre,3.5
City Hall,4.416666667
Singapore river/Riverside,3.878151261
Punggol,3.666666667
Changi,3.783333333
Outram,4
Bukit Batok,4.5
Bbukit Pajang,3.75
Bukit Timah,3.895348837
Tampines East,3.7
Tampines West,3.5
Marina Centre,3.983870968
Sengkang,4
Bukit Merah,4
Geylang,3.8
Jurong Regional Central,3.85
Jurong West,5
Jurong West Central,4.1
Clementi Central,3.75
Arab Street,3.961538462
Marine Parade,3.863636364
