Restaurant Name,Overall Rating,Number of Reviews,Food Type,Review Rating,Review Date,Review Content
Usman Restaurant,3.9,39,Indian,4,30-Jul-22,"Daal Keema fry & pala paneer were good  Mix tandoor sizzler has no prawns though it's listed under prawns in the menu. It had a great smoky flavour even before the sauce was dumped on it.  Briyani rice looked off but tasted about right. Kashmiri naan: the oil glistened & it was nice & moist. It tasted decent (if you like sweet naan you'll love it). It's not as sweet as other kashmiri naan I've had.  Orange Lassi was thick, concentrated & sweet. Cardamon Lassi was ok (not sweet)"
Usman Restaurant,3.9,39,Indian,5,20-May-23,Very good Pakistani restaurant. I ate chicken tandoori taste was very good & delicious. But they don't even No their restaurant is listed in yelp lol . Price average according to Singapore. Recommended
Usman Restaurant,3.9,39,Indian,4,22-Mar-16,"Cash only. I hate cash only places.  Cleanliness was questionable. Service was great though. I had a problem when ordering because I wanted the butter chicken, garlic naan, and tandoori chicken but knew I need to pick just one *sad face*  We ordered and paid then got seated.  Since the food was cooked and in their respective hot-held trays, the food came out super fast. I ended up ordering the biryani rice and chicken tandoori. They have many different kinds of naans...  The chicken was tender, flavorful, and juicy. You can taste the turmeric and cumin in the biryani rice. Glad I opted for this rather than plain white rice. I ended up not getting any naan. There is a pitcher of water on each table. Seems like no one in Singapore drinks iced water. Thankfully I had a bottle of cold water w/ me because we came straight after work.  Super delicious. A bookmarked knocked off!!!"
Usman Restaurant,3.9,39,Indian,4,19-Apr-17,"it's late, and you're hungry. No Jack in the Crack or Taco Hell here just honest, good Indian food.  Garlic naan- fluffy, hot, and full of flavor.   Chicken Tandoori- It's packing heat so be warned, but it's addicting.   Pulled tea- my favorite drink in Singapore! It's aerated, light, deliciously sweet. It's the perfect thing to balance out the heat from the chicken.   Staff here is no nonsense and curt. You can't go wrong here if you're looking for a quick, cheap eat."
Usman Restaurant,3.9,39,Indian,5,19-Jul-14,"So, we were just exploring Little India and I happened to see a little sign for naan. I figured, why not try it out? So, my boo ordered some of that as well as some tandoori chicken. It was SOOOOOO goood!!!!!!!! I was eating it UP!!! haha. SO, we ordered some MORE naan as well as some tikka chicken this time!! It was tasty yet again though I do have a personal preference for the tandoori!  Btw, you just order and take a seat anywhere, then keep ordering and pay at the counter when you're about to leave. Don't worry, they are all staring at you like hawks and know your order. As we were paying, I noticed they also had CHEESE naan so of course we got that to go. It was YUMMY as well :P"
Usman Restaurant,3.9,39,Indian,3,15-Oct-19,"I was expecting something great...but i was disappointed. Ordered chili chicken, bryani rice, butter naan and tandori chicken. The chili chicken lacked flavor, there was no spice what so ever. It was very mild and taste less. As for the bryani, i should have know better i hate cilantro and of course that is all i could taste. The tandoori chicken was dry and hard to finish..but the naan was GREAT..."
Usman Restaurant,3.9,39,Indian,4,31-Jul-17,"Looking for delicious Indian in Singapore!  Staff here is no nonsense and curt. You can't go wrong here if you're looking for a quick, cheap eat.  Garlic naan- fluffy, hot, and full of flavor.  Chicken Tandoori- It's packing heat so be warned, but it's addicting.  Pulled tea- my favorite drink in Singapore! It's aerated, light, deliciously sweet. It's the perfect thing to balance out the heat from the chicken.  It was a satisfying experience. I would put this one on the records of good eating!"
Usman Restaurant,3.9,39,Indian,3,11-Jan-17,"Efficiency be darned! The pace here is alarmingly slow. Hungry bellies wait for no one.  The food at Usman is okay. Dining on spicy Indian food is not optimal when there is no AC. Sweating like a farm animal while trying to avoid seasoning my own food with my bodily excretions doesn't really do it for me. It is the 21st century after all.  Perhaps take out from here is a is a better option than dining in.  Regardless of my observations, the restaurant packs it in and rarely experiences a lull."
Usman Restaurant,3.9,39,Indian,4,6-Oct-16,"This spot offers both meat and vegetarian items. The naan is made to order and particularly delicious - I wish we had ordered the garlic cheese one as both garlic and cheese (separately) were excellent. The mango lassi was exceptional.  Cash only, so come prepared for that. Prices seemed a little high by Little India standards. (Main courses were around $11) There's a small sink you can use to wash your hands before/after the meal - its to the left of the food display."
Usman Restaurant,3.9,39,Indian,5,22-Mar-17,"Late night, hungry. Usman just outside my door. Hole-in-the-wall joint with NO pretense about fancy d¨¦cor. Great food!!!!! Garlic cheese naan (that's right... no need to choose - get both!), butter chicken, mango lassie. Immediate service, quick turn-around for food delivery, and the owner checked us out at the end. Little to no dent in the wallet. Tomorrow night?"
Usman Restaurant,3.9,39,Indian,4,19-Apr-15,"Warning: 1. Come here if you like to eat with your hands. They don't like to let you use their cutlery. 2. If you sit outside, the stench from the drain may overpower the taste of your food  Ok, so this grotty joint isn't the cleanest or the cutest place. It's on the corner of the notorious Desker road in little India. You'll get ambience alright. It's really quite a hoot sitting there and seeing/smelling the real world of Little India. Until your food arrives that is.  You'll be blown away by the fluffy naans. Butter, garlic, or garlic and cheese or sesame naan, so many choices, too few carb calories to have.  Then there is the palak paneer. Massive fan. Their version is dark green almost black. But omg with the cheese naan, you'll be having the most satisfying dinner/ supper yet. Washed down with a masala chai, you would then wonder why you haven't been here before.  Simply good. I recommend taking a nap after a meal here. Bliss!"
Usman Restaurant,3.9,39,Indian,4,2-Dec-15,4 stars instead of 5 due to the ambience. Server is attentive and courteous too. Food is excellent and served hot. Server recommended Dhall fry which is delicious. Waiting time is short too. Seen all patrons are satisfied with the food and servings portion is just nice too. Will definitely come back with friends.
Usman Restaurant,3.9,39,Indian,5,26-Aug-15,"One of the best authentic Indian food to have in Singapore. The ambience and cleanliness would definitely be a put off for almost everyone; however, if you are able to resist then you are up for blissful Indian food.  Things to try: 1. Dal tadka 2. Butter Chicken 3. Palak Paneer 4. Garlic Naan"
Usman Restaurant,3.9,39,Indian,4,6-Apr-18,"Came here with a couple of friends and got a plethora of food to share family style. Highlights were the daal, aloo gobi, chicken karahi, and samosas. Everything had the right amount of spice. The bread we ordered with the meal was alright - garlic and cheese naan. The seekh kebab and palak chicken were disappointing. Service was quick and attentive. I would come again if I were in Singapore again."
Usman Restaurant,3.9,39,Indian,4,4-Jun-18,"Fabulous, rustic, Indian food, That I stumbled upon by accident when I was lost and hungry while exploring the city. I would defiantly recommend this place for a taste of India."
Usman Restaurant,3.9,39,Indian,4,22-Jan-18,"Excellent Indian food, the garlic naan bread was delicious and it went well with the chicken masala. The tandoori chicken was tasty. I really enjoyed the mango lassi drink. This is a cash only restaurant, I had to find an ATM before eating here."
Usman Restaurant,3.9,39,Indian,4,30-Jul-15,"As everyone has said, they have one of the best naan in Singapore. Their Palak Paneer (made to order) is not creamy at all but very well made. The chickpea is like the one that you get in an authentic Indian or Pakistani dhaba.  The best dish is the karahi chicken which is only made to order and takes close to 20 minutes as its prepared from scratch for every order. A must if you have the time or can do a take away as well.  Should try their special chicken fried rice which is very flavourful with large amount of chicken, sauted onions, tomatoes and green chillies.  Didn't bother trying any drinks as there is nothing out of the ordinary and are normal items."
Usman Restaurant,3.9,39,Indian,4,7-Jun-15,"I wish I would've found this place much earlier. Their food is definitely something to write home about. There is no AC, credit card machine, dressed-up waiters/kitchen staff, just great desi food.  I got the lahori tandoor with a garlic naan (Total: $6). The chicken was mildly spiced and the garlic naan was hot and fresh. Finding seating may be difficult at times since this place is so popular with locals and the number of seats are limited by the outside space.  FYI....be prepared to eat with your hands and wash them afterwards. This is how this type of food is meant to be eaten so don't complain about lack of utensils to the staff."
Usman Restaurant,3.9,39,Indian,4,10-Dec-14,"It is without a doubt that the naans here are great. I had the butter naan and at first glance, I was skeptical as I could see the naan dripping with the liquified butter. Not something I would order if I knew it was so high in the cholesterol. When I tore the naan apart, it peeled easily. The texture was soft in the inside but mildly crispy on the outside and it was actually much better than it looked. Even when consuming it without the curry.  I also had the chicken masala to go with the naan. This curry was sweet and not spicy. The chicken in it fell off easily from the bone, which is exactly the way I like my meat - stewed for a long time and soft and light on the palette. The curry could have been a little spicier to give it a kick.  The teh tarik here is just average and we ordered siu dai to preempt an often too generous dosage of the white matter from the drinks maker. I had a coffee to go too. First time having Indian coffee and I can only say that Indian coffee isn't something I'll ever order again.  This place is cheap! You can get all the North Indian food you want - masala, chicken, mutton, naan (all types), fish, whatever here at an affordable price though I hope I haven't spoken too soon less they raise prices. Moderately crowded, all the seats were occupied at 8pm on a weekday night. Will definitely come back to try the other stuff!"
Usman Restaurant,3.9,39,Indian,5,31-Oct-15,"I've been treated to a lot of Indian places at home in Australia, but never have I tasted such amazing flavours.  Usman's concerned me when I first encountered it: open air on a day when the haze was thick. None the less, my wife and I proceeded to order.  Thank goodness we did. Truly excellent food and the best Naan I have ever tasted.  We tried the tandoori chicken biryani, a chicken curry starting with a k (the name escapes me right now), mutter paneer and a couple of mango lasis.  I highly recommend it, definitely worth the trip to Little India."
