URL,Restaurant Name,Overall Rating,Number of Reviews,Food Type
https://www.yelp.com/biz/the-royals-steakhouse-singapore?osq=Restaurants,The Royals Steakhouse,4.5,2,"Halal, Steakhouses"
https://www.yelp.com/biz/violet-oon-singapore?osq=Restaurants,Violet Oon,4.3,13,"British, Hainan, Singaporean"
https://www.yelp.com/biz/taste-of-morroco-singapore?osq=Restaurants,Taste Of Morroco,5.0,1,Moroccan
https://www.yelp.com/biz/beach-road-kitchen-singapore?osq=Restaurants,Beach Road Kitchen,4.6,17,"Breakfast & Brunch, Chinese, Buffets"
https://www.yelp.com/biz/treasures-yi-dian-xin-singapore-3?osq=Restaurants,Treasures Yi Dian Xin,4.7,3,"Congee, Dim Sum, Noodles"
https://www.yelp.com/biz/da-lian-traditional-noodles-singapore?osq=Restaurants,Da Lian Traditional Noodles,3.9,20,"Noodles, Teochew"
https://www.yelp.com/biz/magurodonya-miuramisakikou-sushi-singapore?osq=Restaurants,Magurodonya Miuramisakikou Sushi,4.8,5,"Sushi Bars, Japanese"
https://www.yelp.com/biz/catch-singapore-river?osq=Restaurants,Catch,4.3,4,Fish & Chips
https://www.yelp.com/biz/seafood-paradise-singapore-2?osq=Restaurants,Seafood Paradise,4.0,3,"Chinese, Seafood"
https://www.yelp.com/biz/waku-ghin-singapore?osq=Restaurants,Waku Ghin,4.4,21,Asian Fusion
https://www.yelp.com/biz/cook-and-brew-singapore?osq=Restaurants,Cook & Brew,4.0,15,"Gastropubs, Lounges"
https://www.yelp.com/biz/komala-vilas-restaurant-singapore?osq=Restaurants,Komala Vilas Restaurant,4.1,76,"Indian, Vegetarian"
https://www.yelp.com/biz/chabuton-singapore-4?osq=Restaurants,Chabuton,4.8,6,Ramen
https://www.yelp.com/biz/mrs-pho-singapore?osq=Restaurants,Mrs Pho,3.8,59,Vietnamese
https://www.yelp.com/biz/the-malayan-council-singapore-2?osq=Restaurants,The Malayan Council,4.9,11,Cafes
https://www.yelp.com/biz/torasho-ramen-and-charcoal-bar-singapore?osq=Restaurants,Torasho Ramen & Charcoal Bar,4.5,4,"Bars, Ramen"
https://www.yelp.com/biz/hao-lai-wu-steamboat-and-bbq-singapore?osq=Restaurants,Hao Lai Wu Steamboat & BBQ,5.0,1,"Barbeque, Buffets"
https://www.yelp.com/biz/spago-by-wolfgang-puck-singapore?osq=Restaurants,Spago By Wolfgang Puck,4.1,91,American
https://www.yelp.com/biz/din-tai-fung-singapore-10?osq=Restaurants,Din Tai Fung,4.2,68,"Shanghainese, Taiwanese, Dumplings"
https://www.yelp.com/biz/super-loco-customs-house-singapore?osq=Restaurants,Super Loco Customs House,3.4,8,"Cocktail Bars, Mexican"
https://www.yelp.com/biz/mtr-1924-singapore-2?osq=Restaurants,MTR 1924,4.4,35,Indian
https://www.yelp.com/biz/su-korean-cuisine-singapore-2?osq=Restaurants,Su Korean Cuisine,5.0,1,Korean
https://www.yelp.com/biz/five-star-hainanese-chicken-rice-singapore-2?osq=Restaurants,Five Star Hainanese Chicken Rice,4.3,27,"Chicken Shop, Hainan"
https://www.yelp.com/biz/the-dragon-chamber-singapore?osq=Restaurants,The Dragon Chamber,4.9,11,"Chinese, Singaporean"
https://www.yelp.com/biz/club55-singapore?osq=Restaurants,Club55,4.3,6,Buffets
https://www.yelp.com/biz/wildseed-cafe-singapore?osq=Restaurants,Wildseed Cafe,4.5,2,"Cafes, Bars, Juice Bars & Smoothies"
https://www.yelp.com/biz/lavender-food-hub-singapore?osq=Restaurants,Lavender Food Hub,4.5,2,"Food Court, Coffee & Tea"
https://www.yelp.com/biz/blue-jasmine-singapore?osq=Restaurants,Blue Jasmine,4.0,1,Thai
https://www.yelp.com/biz/cibo-italiano-singapore?osq=Restaurants,Cibo Italiano,4.2,6,"Wine Bars, Italian, Imported Food"
https://www.yelp.com/biz/the-sushi-bar-singapore?osq=Restaurants,The Sushi Bar,4.3,41,"Sushi Bars, Japanese"
